JrId,JournalTitle,MedAbbr,ISSN (Print),ISSN (Online),IsoAbbr,NlmId
4222,IARC scientific publications,IARC Sci Publ,0300-5038,,IARC Sci Publ,8009542
4223,Canadian journal of otolaryngology. Supplement,Can J Otolaryngol Suppl,0707-7289,,Can J Otolaryngol Suppl,7708917
4224,Indian journal of physiology and pharmacology,Indian J Physiol Pharmacol,0019-5499,,Indian J Physiol Pharmacol,0374707
4225,Health communications and informatics,Health Commun Informatics,0378-9845,,Health Commun Informatics,7904272
4226,Glia,Glia,0894-1491,1098-1136,Glia,8806785
4227,Indian journal of public health,Indian J Public Health,0019-557X,,Indian J Public Health,0400673
4228,Indian medical journal,Indian Med J,0019-5871,,Indian Med J,9705769
4229,Inflammation,Inflammation,0360-3997,1573-2576,Inflammation,7600105
4230,Indian pediatrics,Indian Pediatr,0019-6061,0974-7559,Indian Pediatr,2985062R
4231,The Indian practitioner,Indian Pract,0019-6169,2394-3017,Indian Pract,0370753
4232,Hansenologia internationalis,Hansenol Int,0100-3283,1982-5161,Hansenol Int,7704131
4233,The Indian veterinary journal,Indian Vet J,0019-6479,,Indian Vet J,0374710
4234,The Indiana nurse,Indiana Nurse,0019-6681,,Indiana Nurse,17540290R
4235,Impressions,Impressions (Orange),,,Impressions (Orange),9878816
4236,L' Information dentaire,Inf Dent,0020-0018,,Inf Dent,0370756
4238,Infection control digest,Infect Control Dig,0275-0236,,Infect Control Dig,8011626
4239,Infection control & urological care,Infect Control Urol Care,0740-3615,,Infect Control Urol Care,7903304
4240,Gastroenterology clinics of North America,Gastroenterol Clin North Am,0889-8553,1558-1942,Gastroenterol Clin North Am,8706257
4241,Informatore Odonto-Stomatologico,Inf Odontostomatol,0020-0751,,Inf Odontostomatol,9875610
4242,Informationen aus Orthodontie und Kieferorthopadie,Inf Orthod Kieferorthop,0020-0336,,Inf Orthod Kieferorthop,1300712
4243,L'Information psychiatrique,Inf Psychiatr,0020-0204,1952-4056,Inf Psychiatr,9705768
4244,"Inforum (Adelaide, S. Aust.)",Inforum,0812-9304,,Inforum,8807312
4245,Infection and immunity,Infect Immun,0019-9567,1098-5522,Infect Immun,0246127
4246,Infection,Infection,0300-8126,1439-0973,Infection,0365307
4247,L' Infirmiere canadienne,Infirm Can,0019-9605,,Infirm Can,0042116
4248,L'Infirmiere francaise,Infirm Fr,0019-9613,,Infirm Fr,0400674
4249,L' Infirmiere haitienne,Infirm Haiti,,,Infirm Haiti,0174016
4250,Infusionstherapie und klinische Ernahrung,Infusionsther Klin Ernahr,0378-0791,,Infusionsther Klin Ernahr,7613112
4251,Inhaled particles,Inhaled Part,0301-1577,,Inhaled Part,0320346
4253,L' Infirmiere,Infirmiere,0019-9591,,Infirmiere,0366542
4254,L'Infirmiere auxiliaire,Infirm Aux,0822-8558,,Infirm Aux,8410629
4255,Injury,Injury,0020-1383,1879-0267,Injury,0226040
4256,Infusionstherapie und klinische Ernahrung. Sonderheft,Infusionsther Klin Ernahr Sonderh,0379-4938,,Infusionsther Klin Ernahr Sonderh,7705430
4257,Inquiry,Inquiry,0046-9580,1945-7243,Inquiry,0171671
4258,"Interiors (New York, N.Y.",Interiors,0164-8470,,Interiors,9878226
4259,International endodontic journal,Int Endod J,0143-2885,1365-2591,Int Endod J,8004996
4260,International anesthesiology clinics,Int Anesthesiol Clin,0020-5907,1537-1913,Int Anesthesiol Clin,0370760
4261,International archives of allergy and applied immunology,Int Arch Allergy Appl Immunol,0020-5915,,Int Arch Allergy Appl Immunol,0404561
4262,"Infusionstherapie (Basel, Switzerland)",Infusionstherapie,1011-6966,,Infusionstherapie,9001943
4263,Interferon,Interferon,0276-1076,,Interferon,8003803
4264,International advances in surgical oncology,Int Adv Surg Oncol,0190-1575,,Int Adv Surg Oncol,7806861
4265,In practice,In Pract,0263-841X,2042-7689,In Pract,8106445
4266,Internationales Archiv fur Arbeitsmedizin,Int Arch Arbeitsmed,0020-5923,,Int Arch Arbeitsmed,7512135
4267,Intensivmedizinische Praxis,Intensivmed Prax,0173-2315,,Intensivmed Prax,8009540
4268,International archives of occupational and environmental health,Int Arch Occup Environ Health,0340-0131,1432-1246,Int Arch Occup Environ Health,7512134
4269,Industry and health care,Ind Health Care,,,Ind Health Care,7902844
4270,International dental journal,Int Dent J,0020-6539,1875-595X,Int Dent J,0374714
4271,"International journal of clinical pharmacology, therapy, and toxicology",Int J Clin Pharmacol Ther Toxicol,0174-4879,,Int J Clin Pharmacol Ther Toxicol,8003415
4272,Newsletter - American Academy of Health Administration. American Academy of Health Administration,Newsl Am Acad Health Adm,0196-450X,,Newsl Am Acad Health Adm,7906915
4273,The International journal of the addictions,Int J Addict,0020-773X,,Int J Addict,0123640
4274,International family planning digest,Int Fam Plann Dig,0362-4056,,Int Fam Plann Dig,7610494
4275,International journal of aging & human development,Int J Aging Hum Dev,0091-4150,1541-3535,Int J Aging Hum Dev,0370033
4276,International journal of andrology,Int J Androl,0105-6263,1365-2605,Int J Androl,8000141
4277,The International journal of applied radiation and isotopes,Int J Appl Radiat Isot,0020-708X,,Int J Appl Radiat Isot,0374715
4278,The International journal of artificial organs,Int J Artif Organs,0391-3988,1724-6040,Int J Artif Organs,7802649
4279,International journal of biological research in pregnancy,Int J Biol Res Pregnancy,0173-8593,,Int J Biol Res Pregnancy,8011123
4280,International journal of bio-medical computing,Int J Biomed Comput,0020-7101,,Int J Biomed Comput,0252005
4282,International journal of biometeorology,Int J Biometeorol,0020-7128,1432-1254,Int J Biometeorol,0374716
4283,IARC monographs on the evaluation of the carcinogenic risk of chemicals to humans. Supplement,IARC Monogr Eval Carcinog Risk Chem Hum Suppl,1014-4307,,IARC Monogr Eval Carcinog Risk Chem Hum Suppl,8002508
4284,International journal of cancer,Int J Cancer,0020-7136,1097-0215,Int J Cancer,0042124
4285,International journal of chronobiology,Int J Chronobiol,0300-9998,,Int J Chronobiol,0367714
4286,International journal of cardiology,Int J Cardiol,0167-5273,1874-1754,Int J Cardiol,8200291
4287,The International journal of clinical and experimental hypnosis,Int J Clin Exp Hypn,0020-7144,1744-5183,Int J Clin Exp Hypn,0376166
4288,AMHC forum,AMHC Forum,0883-0401,,AMHC Forum,8411239
4289,"International journal of clinical pharmacology, therapy and toxicology",Int J Clin Pharmacol,0300-9718,,Int J Clin Pharmacol,7505528
4290,International journal of clinical pharmacology and biopharmacy,Int J Clin Pharmacol Biopharm,0340-0026,,Int J Clin Pharmacol Biopharm,7505527
4291,International journal of dermatology,Int J Dermatol,0011-9059,1365-4632,Int J Dermatol,0243704
4292,International journal of environmental analytical chemistry,Int J Environ Anal Chem,0306-7319,1029-0397,Int J Environ Anal Chem,0331757
4293,International journal of equilibrium research,Int J Equilib Res,0303-7223,,Int J Equilib Res,7501152
4294,International journal of epidemiology,Int J Epidemiol,0300-5771,1464-3685,Int J Epidemiol,7802871
4295,International journal of fertility,Int J Fertil,0020-725X,,Int J Fertil,0374717
4296,International journal of gynecological pathology,Int J Gynecol Pathol,0277-1691,1538-7151,Int J Gynecol Pathol,8214845
4297,International journal of obesity,Int J Obes,,,Int J Obes,7703240
4298,International journal of clinical pharmacology research,Int J Clin Pharmacol Res,0251-1649,,Int J Clin Pharmacol Res,8110183
4299,The International journal of forensic dentistry,Int J Forensic Dent,0306-9419,,Int J Forensic Dent,7507151
4300,International orthopaedics,Int Orthop,0341-2695,1432-5195,Int Orthop,7705431
4301,International journal of group psychotherapy,Int J Group Psychother,0020-7284,1943-2836,Int J Group Psychother,0374720
4302,International journal of immunopharmacology,Int J Immunopharmacol,0192-0561,,Int J Immunopharmacol,7904799
4303,International journal of health services,Int J Health Serv,0020-7314,1541-4469,Int J Health Serv,1305035
4304,International journal of sports medicine,Int J Sports Med,0172-4622,1439-3964,Int J Sports Med,8008349
4305,International journal of rehabilitation research. Internationale Zeitschrift fur Rehabilitationsforschung. Revue internationale de recherches de readaptation,Int J Rehabil Res,0342-5282,1473-5660,Int J Rehabil Res,7805421
4306,International journal of cancer. Supplement = Journal international du cancer. Supplement,Int J Cancer Suppl,0898-6924,,Int J Cancer Suppl,8710267
4307,"Growth, development, and aging",Growth Dev Aging,1041-1232,,Growth Dev Aging,8809704
4308,International journal of law and psychiatry,Int J Law Psychiatry,0160-2527,1873-6386,Int J Law Psychiatry,7806862
4309,International journal of Leprosy,Int J Lepr,0020-7349,,Int J Lepr,2985070R
4310,International journal of neurology,Int J Neurol,0020-7446,,Int J Neurol,0374722
4311,International journal of pediatric otorhinolaryngology,Int J Pediatr Otorhinolaryngol,0165-5876,1872-8464,Int J Pediatr Otorhinolaryngol,8003603
4312,The International journal of neuroscience,Int J Neurosci,0020-7454,1563-5279,Int J Neurosci,0270707
4313,International journal of nuclear medicine and biology,Int J Nucl Med Biol,0047-0740,,Int J Nucl Med Biol,0360047
4314,International journal of neuropharmacology,Int J Neuropharmacol,0375-9458,,Int J Neuropharmacol,9421557
4315,International journal of neuropsychiatry,Int J Neuropsychiatry,,,Int J Neuropsychiatry,0243214
4316,International journal of nursing studies,Int J Nurs Stud,0020-7489,1873-491X,Int J Nurs Stud,0400675
4317,International journal of orthodontics,Int J Orthod,0020-7500,,Int J Orthod,0055653
4318,International journal of oral surgery,Int J Oral Surg,0300-9785,,Int J Oral Surg,0334641
4319,International journal for parasitology,Int J Parasitol,0020-7519,1879-0135,Int J Parasitol,0314024
4320,The International journal of occupational health & safety,Int J Occup Health Saf,0093-2205,,Int J Occup Health Saf,7910014
4321,International journal of peptide and protein research,Int J Pept Protein Res,0367-8377,,Int J Pept Protein Res,0330420
4322,The International journal of oral myology,Int J Oral Myol,0360-4004,,Int J Oral Myol,7600106
4323,International ophthalmology,Int Ophthalmol,0165-5701,1573-2630,Int Ophthalmol,7904294
4324,International journal of psychiatry,Int J Psychiatry,0020-756X,,Int J Psychiatry,0243036
4325,The International journal of pediatric nephrology,Int J Pediatr Nephrol,0391-6510,,Int J Pediatr Nephrol,8007162
4326,The International journal of orofacial myology,Int J Orofacial Myology,0735-0120,2694-2526,Int J Orofacial Myology,8207532
4327,International journal of psychiatry in medicine,Int J Psychiatry Med,0091-2174,1541-3527,Int J Psychiatry Med,0365646
4328,The International journal of psycho-analysis,Int J Psychoanal,0020-7578,1745-8315,Int J Psychoanal,2985179R
4329,Giornale di stomatologia e di ortognatodonzia,G Stomatol Ortognatodonzia,1122-1038,,G Stomatol Ortognatodonzia,8702086
4330,International journal of psychoanalytic psychotherapy,Int J Psychoanal Psychother,0091-0600,,Int J Psychoanal Psychother,0364543
4331,"International journal of radiation biology and related studies in physics, chemistry, and medicine",Int J Radiat Biol Relat Stud Phys Chem Med,0020-7616,,Int J Radiat Biol Relat Stud Phys Chem Med,0374725
4332,International rehabilitation medicine,Int Rehabil Med,0379-0797,,Int Rehabil Med,7911315
4333,"International journal of microcirculation, clinical and experimental",Int J Microcirc Clin Exp,0167-6865,,Int J Microcirc Clin Exp,8400122
4334,Gaceta sanitaria,Gac Sanit,0213-9111,1578-1283,Gac Sanit,8901623
4335,The International journal of social psychiatry,Int J Soc Psychiatry,0020-7640,1741-2854,Int J Soc Psychiatry,0374726
4336,International rescuer,Int Rescuer,0020-8515,,Int Rescuer,0056013
4337,The International journal of periodontics & restorative dentistry,Int J Periodontics Restorative Dent,0198-7569,1945-3388,Int J Periodontics Restorative Dent,8200894
4338,International journal of partial hospitalization,Int J Partial Hosp,0272-4308,,Int J Partial Hosp,8208732
4339,International journal of psychosomatics,Int J Psychosom,0884-8297,,Int J Psychosom,8409613
4340,International journal for vitamin and nutrition research. Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Journal international de vitaminologie et de nutrition,Int J Vitam Nutr Res,0300-9831,,Int J Vitam Nutr Res,1273304
4341,International journal of tissue reactions,Int J Tissue React,0250-0868,,Int J Tissue React,8302116
4342,International journal of technology assessment in health care,Int J Technol Assess Health Care,0266-4623,1471-6348,Int J Technol Assess Health Care,8508113
4343,International journal of zoonoses,Int J Zoonoses,0377-0168,,Int J Zoonoses,7505008
4344,Infection control,Infect Control,0195-9417,,Infect Control,8008357
4345,International nursing review,Int Nurs Rev,0020-8132,1466-7657,Int Nurs Rev,7808754
4346,International ophthalmology clinics,Int Ophthalmol Clin,0020-8167,1536-9617,Int Ophthalmol Clin,0374731
4347,International review of physiology,Int Rev Physiol,0363-3918,,Int Rev Physiol,7608349
4348,International psychiatry clinics,Int Psychiatry Clin,0020-8426,,Int Psychiatry Clin,0401660
4349,International pharmacopsychiatry,Int Pharmacopsychiatry,0020-8272,,Int Pharmacopsychiatry,0135645
4350,International review of connective tissue research,Int Rev Connect Tissue Res,0074-767X,,Int Rev Connect Tissue Res,0374736
4351,International review of cytology,Int Rev Cytol,0074-7696,,Int Rev Cytol,2985180R
4352,International review of cytology. Supplement,Int Rev Cytol Suppl,0074-770X,,Int Rev Cytol Suppl,0177061
4353,International review of experimental pathology,Int Rev Exp Pathol,0074-7718,,Int Rev Exp Pathol,0374737
4354,International review of neurobiology,Int Rev Neurobiol,0074-7742,2162-5514,Int Rev Neurobiol,0374740
4356,International review of tropical medicine,Int Rev Trop Med,0074-7777,,Int Rev Trop Med,7511476
4357,International surgery,Int Surg,0020-8868,2520-2456,Int Surg,0043524
4358,International urology and nephrology,Int Urol Nephrol,0301-1623,1573-2584,Int Urol Nephrol,0262521
4359,AHA hospital technology series,AHA Hosp Technol Ser,0735-4681,,AHA Hosp Technol Ser,9880754
4360,International Symposium On Fluoridation And Preventive Dentistry,Int Symp Fluorid Prev Dent,,,Int Symp Fluorid Prev Dent,9881598
4361,"Internationale Zeitschrift fur angewandte Physiologie, einschliesslich Arbeitsphysiologie",Int Z Angew Physiol,0020-9376,,Int Z Angew Physiol,0410302
4362,"Internationale Zeitschrift fur klinische Pharmakologie, Therapie, und Toxikologie. International journal of clinical pharmacology, therapy, and toxicology",Int Z Klin Pharmakol Ther Toxikol,0020-9392,,Int Z Klin Pharmakol Ther Toxikol,0340713
4363,Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Beiheft,Int Z Vitam Ernahrungsforsch Beih,0373-0883,,Int Z Vitam Ernahrungsforsch Beih,0332153
4364,Internationale Zeitschrift fur Vitaminforschung. International journal of vitamin research. Journal international de vitaminologie,Int Z Vitaminforsch,0020-9406,,Int Z Vitaminforsch,1274010
4365,Invasion & metastasis,Invasion Metastasis,0251-1789,,Invasion Metastasis,8202435
4366,Internistische Praxis,Internist Prax,0020-9570,,Internist Prax,0165250
4367,Der Internist,Internist (Berl),0020-9554,1432-1289,Internist (Berl),0264620
4368,The Internist,Internist,0020-9546,,Internist,1251744
4369,Intervirology,Intervirology,0300-5526,1423-0100,Intervirology,0364265
4370,Investigative ophthalmology,Invest Ophthalmol,0020-9988,,Invest Ophthalmol,0374730
4371,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci,0146-0404,1552-5783,Invest Ophthalmol Vis Sci,7703701
4372,Investigational new drugs,Invest New Drugs,0167-6997,1573-0646,Invest New Drugs,8309330
4373,Investigative radiology,Invest Radiol,0020-9996,1536-0210,Invest Radiol,0045377
4374,The Investor-owned hospital review,Investor Owned Hosp Rev,0093-7312,,Investor Owned Hosp Rev,7613884
4375,Investigative urology,Invest Urol,0021-0005,,Invest Urol,0374747
4376,Ion exchange and membranes,Ion Exch Membr,0091-0619,,Ion Exch Membr,0364544
4377,Iowa Dental Bulletin,Iowa Dent Bull,,,Iowa Dent Bull,9877968
4378,The Iowa dental journal,Iowa Dent J,0021-0498,,Iowa Dent J,9301639
4379,Iowa medicine,Iowa Med,0746-8709,,Iowa Med,8403404
4380,Iowa State University veterinarian,Iowa State Univ Vet,0099-5851,,Iowa State Univ Vet,17710170R
4381,Irish journal of medical science,Ir J Med Sci,0021-1265,1863-4362,Ir J Med Sci,7806864
4382,Irish medical journal,Ir Med J,0332-3102,,Ir Med J,0430275
4383,Irish nursing and hospital world,Ir Nurs Hosp World,0790-7702,,Ir Nurs Hosp World,0323465
4384,The Irish nursing news,Ir Nurs News,0021-1354,,Ir Nurs News,17710360R
4385,Irish nurses' journal,Ir Nurses J,0021-1346,,Ir Nurses J,0323464
4386,Iraqi Dental Journal,Iraqi Dent J,,,Iraqi Dent J,9883855
4387,Iryo,Iryo,0021-1699,,Iryo,0413672
4388,IRCS journal of medical science,IRCS J Med Sci,0305-6481,,IRCS J Med Sci,7505551
4389,ISA transactions,ISA Trans,0019-0578,1879-2022,ISA Trans,0374750
4390,Isis; an international review devoted to the history of science and its cultural influences,Isis,0021-1753,1545-6994,Isis,2985182R
4391,Isozymes,Isozymes Curr Top Biol Med Res,0160-3787,,Isozymes Curr Top Biol Med Res,7706779
4392,Human genetics. Supplement,Hum Genet Suppl,0172-7699,,Hum Genet Suppl,7809212
4393,The Israel annals of psychiatry and related disciplines,Isr Ann Psychiatr Relat Discip,0021-1958,,Isr Ann Psychiatr Relat Discip,0374751
4394,Israel journal of medical sciences,Isr J Med Sci,0021-2180,,Isr J Med Sci,0013105
4395,"Refu'at ha-peh veha-shinayim (Tel Aviv, Israel",Refuat Hapeh Vehashinayim,0034-3161,,Refuat Hapeh Vehashinayim,0227721
4396,Israel journal of zoology,Isr J Zool,0021-2210,,Isr J Zool,0404433
4397,Immunopharmacology,Immunopharmacology,0162-3109,,Immunopharmacology,7902474
4398,Issues (National Council of State Boards of Nursing (U.S.)),Issues,0885-0046,,Issues,8505238
4399,Issues in mental health nursing,Issues Ment Health Nurs,0161-2840,1096-4673,Issues Ment Health Nurs,7907126
4400,The Israel journal of psychiatry and related sciences,Isr J Psychiatry Relat Sci,0333-7308,2617-2402,Isr J Psychiatry Relat Sci,8108287
4401,Issledovaniia po genetike,Issled Genet,0578-9508,,Issled Genet,17710500R
4402,Issues in law & medicine,Issues Law Med,8756-8160,2377-6463,Issues Law Med,8511295
4403,Istanbul Universitesi Dishekimligi Fakultesi dergisi = The journal of the Dental Faculty of Istanbul,Istanbul Univ Dishekim Fak Derg,0257-8212,,Istanbul Univ Dishekim Fak Derg,9425140
4404,Italian general review of dermatology,Ital Gen Rev Dermatol,0021-292X,,Ital Gen Rev Dermatol,0163320
4405,The Italian journal of biochemistry,Ital J Biochem,0021-2938,,Ital J Biochem,0376564
4406,Italian journal of neurological sciences,Ital J Neurol Sci,0392-0461,,Ital J Neurol Sci,8006502
4407,The Italian journal of surgical sciences,Ital J Surg Sci,0392-3525,,Ital J Surg Sci,8213451
4408,Italian journal of orthopaedics and traumatology,Ital J Orthop Traumatol,0390-5489,,Ital J Orthop Traumatol,7511480
4409,Italian journal of orthopaedics and traumatology. Supplementum,Ital J Orthop Traumatol Suppl,,,Ital J Orthop Traumatol Suppl,7801241
4410,Izvestiia Akademii nauk SSSR. Seriia biologicheskaia,Izv Akad Nauk SSSR Biol,0002-3329,,Izv Akad Nauk SSSR Biol,7505543
4411,Izvestiia na Instituta po fiziologiia,Izv Inst Fiziol (Sofiia),0068-3922,,Izv Inst Fiziol (Sofiia),7503809
4412,Izvestiia na Mikrobiologicheskiia institut,Izv Mikrobiol Inst (Sofiia),0068-3957,,Izv Mikrobiol Inst (Sofiia),7600108
4413,Intensive care medicine,Intensive Care Med,0342-4642,1432-1238,Intensive Care Med,7704851
4415,Journal of abnormal child psychology,J Abnorm Child Psychol,0091-0627,1573-2835,J Abnorm Child Psychol,0364547
4416,Issues in health care of women,Issues Health Care Women,0161-5246,,Issues Health Care Women,7908143
4417,Journal of abnormal psychology,J Abnorm Psychol,0021-843X,1939-1846,J Abnorm Psychol,0034461
4418,Journal - Academy of General Dentistry,J Acad Gen Dent,0001-4265,,J Acad Gen Dent,7610507
4419,The Journal of the Acoustical Society of America,J Acoust Soc Am,0001-4966,1520-8524,J Acoust Soc Am,7503051
4420,Journal of advanced nursing,J Adv Nurs,0309-2402,1365-2648,J Adv Nurs,7609811
4421,Journal of agricultural and food chemistry,J Agric Food Chem,0021-8561,1520-5118,J Agric Food Chem,0374755
4422,Journal of professional nursing,J Prof Nurs,8755-7223,1532-8481,J Prof Nurs,8511298
4423,Journal of the Air Pollution Control Association,J Air Pollut Control Assoc,0002-2470,,J Air Pollut Control Assoc,7505567
4424,Journal of affective disorders,J Affect Disord,0165-0327,1573-2517,J Affect Disord,7906073
4425,Journal - Alabama Dental Association,J Ala Dent Assoc,0002-4198,,J Ala Dent Assoc,7505557
4426,The Journal of the All India Dental Association,J All India Dent Assoc,0377-0516,,J All India Dent Assoc,7503054
4427,The Journal of ambulatory care management,J Ambul Care Manage,0148-9917,1550-3267,J Ambul Care Manage,7802876
4428,Journal of the All-India Ophthalmological Society,J All India Ophthalmol Soc,0044-7307,,J All India Ophthalmol Soc,7503055
4429,Journal of the American College of Cardiology,J Am Coll Cardiol,0735-1097,1558-3597,J Am Coll Cardiol,8301365
4430,Journal of the American College of Nutrition,J Am Coll Nutr,0731-5724,1541-1087,J Am Coll Nutr,8215879
4431,The Journal of allergy and clinical immunology,J Allergy Clin Immunol,0091-6749,1097-6825,J Allergy Clin Immunol,1275002
4432,Journal of the American Academy of Child Psychiatry,J Am Acad Child Psychiatry,0002-7138,,J Am Acad Child Psychiatry,7505568
4433,The Journal of the American Academy of Gold Foil Operators,J Am Acad Gold Foil Oper,0002-7146,,J Am Acad Gold Foil Oper,7605632
4434,The Journal of the American Association of Nurse Anesthetists,J Am Assoc Nurse Anesth,0002-7448,,J Am Assoc Nurse Anesth,0431453
4435,Journal of the American Chemical Society,J Am Chem Soc,0002-7863,1520-5126,J Am Chem Soc,7503056
4436,The Journal of the American College of Dentists,J Am Coll Dent,0002-7979,,J Am Coll Dent,7503057
4437,Journal of the American College Health Association,J Am Coll Health Assoc,0002-7944,,J Am Coll Health Assoc,7503059
4438,Journal of American college health,J Am Coll Health,0744-8481,1940-3208,J Am Coll Health,8214119
4439,Journal of the American Dental Association (1939),J Am Dent Assoc,0002-8177,1943-4723,J Am Dent Assoc,7503060
4440,The Journal of the American Dental Hygienists' Association,J Am Dent Hyg Assoc,0002-8185,,J Am Dent Hyg Assoc,7505571
4441,Journal of the American Dental Society of Anesthesiology,J Am Dent Soc Anesthesiol,,,J Am Dent Soc Anesthesiol,7505572
4442,Journal of the American Dietetic Association,J Am Diet Assoc,0002-8223,1878-3570,J Am Diet Assoc,7503061
4443,Journal of the American Geriatrics Society,J Am Geriatr Soc,0002-8614,1532-5415,J Am Geriatr Soc,7503062
4444,Journal - American Health Care Association,J Am Health Care Assoc,0360-4969,,J Am Health Care Assoc,7600544
4445,Journal of the American Institute of Homeopathy,J Am Inst Homeopath,0002-8967,,J Am Inst Homeopath,7507175
4446,Journal of the American Institute of Planners,J Am Inst Plann,0002-8991,,J Am Inst Plann,9877929
4447,Journal of the American Medical Women's Association (1972),J Am Med Womens Assoc (1972),0098-8421,1551-8221,J Am Med Womens Assoc (1972),7503064
4448,Journal of the American Oil Chemists' Society,J Am Oil Chem Soc,0003-021X,1558-9331,J Am Oil Chem Soc,7505574
4449,Journal of the American Optometric Association,J Am Optom Assoc,0003-0244,,J Am Optom Assoc,7505575
4450,Journal of the American Pharmaceutical Association,J Am Pharm Assoc,0003-0465,,J Am Pharm Assoc,7505576
4451,Journal of the American Planning Association. American Planning Association,J Am Plann Assoc,0194-4363,,J Am Plann Assoc,9878432
4452,Journal of applied toxicology,J Appl Toxicol,0260-437X,1099-1263,J Appl Toxicol,8109495
4453,Journal of biochemical and biophysical methods,J Biochem Biophys Methods,0165-022X,1872-857X,J Biochem Biophys Methods,7907378
4454,Journal - Association for Hospital Medical Education,J Assoc Hosp Med Educ,0148-4869,,J Assoc Hosp Med Educ,7705084
4455,Journal of economics and business,J Econ Bus,0148-6195,,J Econ Bus,9878121
4456,Journal of the autonomic nervous system,J Auton Nerv Syst,0165-1838,,J Auton Nerv Syst,8003419
4457,The Journal of the American Association of Nephrology Nurses & Technicians,J Am Assoc Nephrol Nurses Tech,0360-7615,,J Am Assoc Nephrol Nurses Tech,7601746
4458,The Journal of audiovisual media in medicine,J Audiov Media Med,0140-511X,1465-3494,J Audiov Media Med,7803121
4459,Journal of the American Podiatry Association,J Am Podiatry Assoc,0003-0538,,J Am Podiatry Assoc,7505577
4460,Journal of the American Psychoanalytic Association,J Am Psychoanal Assoc,0003-0651,1941-2460,J Am Psychoanal Assoc,7505579
4461,Journal - American Intra-Ocular Implant Society,J Am Intraocul Implant Soc,0146-2776,,J Am Intraocul Implant Soc,7701858
4462,The Journal for hospital admitting management,J Hosp Admit Manage,0894-1068,,J Hosp Admit Manage,8704017
4463,Journal of American insurance,J Am Insur,0021-874X,,J Am Insur,0254060
4464,The Journal of the American Society for Geriatric Dentistry,J Am Soc Geriatr Dent,0003-1054,,J Am Soc Geriatr Dent,7503066
4465,Journal of allied health,J Allied Health,0090-7421,1945-404X,J Allied Health,0361603
4466,Journal (Anglo-Continental Dental Society),J Anglocont Dent Soc,0003-3324,,J Anglocont Dent Soc,8301204
4467,Journal of the American Audiology Society,J Am Audiol Soc,0360-9294,,J Am Audiol Soc,7602679
4468,The Journal of the American Society for Preventive Dentistry,J Am Soc Prev Dent,0093-4518,,J Am Soc Prev Dent,0415031
4469,The Journal of the American Academy of Psychoanalysis,J Am Acad Psychoanal,0090-3604,,J Am Acad Psychoanal,7505570
4470,Journal of the American Auditory Society,J Am Aud Soc,0164-5080,,J Am Aud Soc,7907691
4471,Journal of the American Society for Information Science. American Society for Information Science,J Am Soc Inf Sci,0002-8231,,J Am Soc Inf Sci,0232761
4472,The Journal of the American Society of Psychosomatic Dentistry and Medicine,J Am Soc Psychosom Dent Med,0003-1194,,J Am Soc Psychosom Dent Med,7505581
4473,International journal of psychophysiology,Int J Psychophysiol,0167-8760,1872-7697,Int J Psychophysiol,8406214
4474,IMJ. Illinois medical journal,IMJ Ill Med J,,,IMJ Ill Med J,7703940
4475,Jordemodern,Jordemodern,0021-7468,,Jordemodern,17810330R
4476,Journal of applied physiology,J Appl Physiol Respir Environ Exerc Physiol,0161-7567,,J Appl Physiol Respir Environ Exerc Physiol,7801242
4477,Journal of adolescent health care,J Adolesc Health Care,0197-0070,,J Adolesc Health Care,8100395
4478,Journal of the American Society for the Study of Orthodontics. American Society for the Study of Orthodontics,J Am Soc Study Orthod,0003-1089,,J Am Soc Study Orthod,9875580
4479,JCAH perspectives. Joint Commission on Accreditation of Hospitals,JCAH Perspect,0277-8327,,JCAH Perspect,8208742
4480,Journal (American Academy of Gnathologic Orthopedics),J Am Acad Gnathol Orthop,0886-1064,,J Am Acad Gnathol Orthop,8709880
4481,Journal of the American Venereal Disease Association,J Am Vener Dis Assoc,0095-148X,,J Am Vener Dis Assoc,7500328
4482,Journal of the American Veterinary Medical Association,J Am Vet Med Assoc,0003-1488,1943-569X,J Am Vet Med Assoc,7503067
4483,The Journal of analytical psychology,J Anal Psychol,0021-8774,1468-5922,J Anal Psychol,0376573
4484,Journal of andrology,J Androl,0196-3635,1939-4640,J Androl,8106453
4485,Japanese journal of cancer research,Jpn J Cancer Res,0910-5050,1876-4673,Jpn J Cancer Res,8509412
4486,Journal of anatomy,J Anat,0021-8782,1469-7580,J Anat,0137162
4487,Journal of animal science,J Anim Sci,0021-8812,1525-3163,J Anim Sci,8003002
4488,"Hospital capital finance American Hospital Association, Division of Hospital Planning and Capital Finance",Hosp Cap Finance,0742-5708,,Hosp Cap Finance,8410882
4489,Home care economics,Home Care Econ,0891-9364,,Home Care Econ,8707765
4490,The Journal of antibiotics,J Antibiot (Tokyo),0021-8820,1881-1469,J Antibiot (Tokyo),0151115
4491,The Healthcare Forum journal,Healthc Forum J,0899-9287,,Healthc Forum J,8801357
4492,Hearing research,Hear Res,0378-5955,1878-5891,Hear Res,7900445
4493,Health care for women international,Health Care Women Int,0739-9332,1096-4665,Health Care Women Int,8411543
